                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.65574,                0.57461,                 1.1488,                0.88343,                0.88787,                0.92997,                0.77502,                0.64203,                0.55662,                 1.0851,             0.00025436,             0.00025436,             0.00025436
                      2,                0.66444,                0.59693,                 1.1603,                0.86304,                0.83727,                0.90554,                0.73839,                 0.7216,                0.69011,                 1.1181,             0.00046014,             0.00046014,             0.00046014
                      3,                0.70525,                0.65258,                 1.1877,                 0.8195,                0.87938,                0.90893,                0.73501,                0.72389,                0.65715,                 1.1399,             0.00061516,             0.00061516,             0.00061516
                      4,                0.70661,                0.66898,                 1.1866,                0.82791,                0.83623,                0.90359,                 0.7447,                0.68148,                0.70533,                 1.1104,             0.00054061,             0.00054061,             0.00054061
                      5,                0.68873,                 0.6555,                 1.1722,                0.86585,                0.83662,                0.89655,                0.72496,                0.70954,                0.68147,                 1.1226,             0.00054061,             0.00054061,             0.00054061
                      6,                0.67073,                0.61899,                 1.1605,                0.77577,                0.85791,                0.87869,                0.71368,                0.69396,                0.73509,                 1.1198,             0.00046448,             0.00046448,             0.00046448
                      7,                0.62713,                0.54594,                 1.1296,                0.86935,                 0.8757,                0.93389,                0.76054,                0.68893,                0.57573,                 1.1414,             0.00038835,             0.00038835,             0.00038835
                      8,                 0.6049,                0.50887,                 1.1206,                0.86322,                0.91406,                0.94192,                0.77646,                0.66368,                 0.5299,                 1.1143,             0.00031221,             0.00031221,             0.00031221
                      9,                0.57771,                0.46833,                 1.0934,                0.90389,                0.90856,                  0.955,                0.80572,                0.63088,                0.47057,                 1.0771,             0.00023608,             0.00023608,             0.00023608
                     10,                0.56095,                0.40852,                 1.0767,                 0.9171,                0.93905,                0.96453,                0.81652,                0.63828,                0.42815,                 1.0736,             0.00015995,             0.00015995,             0.00015995
