                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.50622,                0.40509,                 1.0496,                0.96651,                 0.9469,                0.98102,                0.87723,                 0.5239,                 0.3381,                0.98218,             0.00025436,             0.00025436,             0.00025436
                      2,                0.52499,                0.41118,                   1.05,                0.96234,                0.94078,                0.97859,                0.86452,                0.54925,                0.34696,                   1.01,             0.00050058,             0.00050058,             0.00050058
                      3,                0.55046,                0.46206,                 1.0642,                0.94528,                0.89991,                0.95887,                0.82391,                0.59753,                0.44635,                 1.0322,             0.00073665,             0.00073665,             0.00073665
                      4,                0.57071,                0.46965,                 1.0783,                0.93671,                0.92704,                0.96417,                 0.8298,                0.59527,                0.43534,                 1.0533,             0.00072332,             0.00072332,             0.00072332
                      5,                 0.5894,                0.50421,                 1.0894,                 0.9241,                0.90109,                0.95352,                0.81861,                0.59309,                0.48238,                 1.0364,             0.00072332,             0.00072332,             0.00072332
                      6,                0.59028,                0.50841,                 1.0984,                0.91383,                0.91185,                 0.9543,                0.81514,                0.60594,                0.46285,                  1.042,              0.0007081,              0.0007081,              0.0007081
                      7,                0.58395,                0.50325,                 1.0889,                0.94288,                0.92955,                 0.9713,                 0.8474,                0.55192,                 0.4018,                 1.0108,             0.00069287,             0.00069287,             0.00069287
                      8,                0.56998,                0.48555,                  1.078,                 0.9249,                0.93799,                0.96862,                0.84631,                0.56798,                0.41266,                 1.0023,             0.00067764,             0.00067764,             0.00067764
                      9,                0.57761,                0.49552,                 1.0872,                0.95006,                0.93494,                0.97308,                0.85173,                0.55922,                0.38351,                 1.0004,             0.00066242,             0.00066242,             0.00066242
                     10,                0.57633,                0.47852,                 1.0769,                0.96406,                0.94132,                0.97405,                0.85951,                0.54487,                0.36459,                0.99759,             0.00064719,             0.00064719,             0.00064719
                     11,                0.55551,                0.46847,                 1.0769,                0.93843,                0.92841,                0.96124,                0.83242,                0.57626,                0.40558,                 1.0212,             0.00063196,             0.00063196,             0.00063196
                     12,                0.57161,                0.48995,                 1.0886,                0.93756,                0.93844,                0.96986,                0.84833,                0.55072,                0.37421,                 1.0139,             0.00061674,             0.00061674,             0.00061674
                     13,                0.55694,                0.46096,                 1.0721,                0.96627,                0.93955,                0.97434,                0.85281,                0.56317,                0.36228,                 1.0086,             0.00060151,             0.00060151,             0.00060151
                     14,                0.54123,                 0.4535,                 1.0606,                0.95437,                0.92845,                0.97074,                0.85122,                0.55776,                0.38263,                 1.0141,             0.00058629,             0.00058629,             0.00058629
                     15,                0.56359,                0.45905,                 1.0732,                0.94901,                0.94514,                0.97501,                0.84499,                 0.5724,                0.36818,                 1.0213,             0.00057106,             0.00057106,             0.00057106
