                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.42383,                0.32567,                 1.0002,                0.97894,                0.96512,                0.98871,                0.88998,                0.51385,                0.28653,                0.98729,             0.00025436,             0.00025436,             0.00025436
                      2,                0.44296,                0.34076,                0.99793,                0.96086,                0.96239,                0.97857,                0.87189,                 0.5251,                0.31979,                0.99936,             0.00050058,             0.00050058,             0.00050058
                      3,                0.47049,                0.38303,                 1.0155,                0.95078,                0.96218,                0.98048,                0.86802,                0.54169,                0.34545,                 1.0043,             0.00073665,             0.00073665,             0.00073665
                      4,                0.49325,                0.39595,                 1.0298,                0.94497,                0.91684,                0.96434,                0.82924,                0.57247,                0.42055,                 1.0423,             0.00072332,             0.00072332,             0.00072332
                      5,                  0.524,                0.42227,                 1.0481,                0.94699,                0.93705,                0.96676,                0.84582,                0.55869,                0.38825,                 1.0118,             0.00072332,             0.00072332,             0.00072332
                      6,                0.50212,                0.40765,                 1.0381,                0.93701,                0.95241,                0.97056,                0.84974,                0.54446,                0.40329,                  1.002,              0.0007081,              0.0007081,              0.0007081
                      7,                 0.5071,                0.41497,                 1.0429,                0.96222,                0.93147,                0.97995,                0.86283,                 0.5506,                0.35606,                 1.0005,             0.00069287,             0.00069287,             0.00069287
                      8,                 0.5086,                0.41734,                 1.0399,                0.91819,                0.93838,                0.96419,                0.84477,                0.54722,                 0.4316,                0.99718,             0.00067764,             0.00067764,             0.00067764
                      9,                0.50951,                0.41036,                 1.0442,                0.95208,                0.93943,                0.97768,                0.85903,                0.54671,                0.35687,                 0.9797,             0.00066242,             0.00066242,             0.00066242
                     10,                0.50548,                0.40752,                 1.0367,                 0.9682,                0.93914,                0.97401,                0.85866,                0.54077,                0.34016,                 1.0092,             0.00064719,             0.00064719,             0.00064719
                     11,                0.48375,                0.39048,                  1.027,                0.94771,                0.93509,                0.96681,                0.85734,                0.53176,                0.40222,                0.99229,             0.00063196,             0.00063196,             0.00063196
                     12,                0.49443,                0.41232,                 1.0342,                0.96152,                0.94343,                0.97827,                0.86533,                0.54061,                0.34147,                0.99653,             0.00061674,             0.00061674,             0.00061674
                     13,                0.49587,                0.39019,                 1.0305,                0.97125,                0.95296,                0.98529,                 0.8718,                0.53533,                0.31442,                0.99083,             0.00060151,             0.00060151,             0.00060151
                     14,                 0.4785,                0.38198,                 1.0185,                0.95773,                0.95044,                0.97849,                 0.8738,                0.52906,                0.33894,                0.98693,             0.00058629,             0.00058629,             0.00058629
                     15,                0.49173,                0.39104,                 1.0252,                0.96521,                0.95542,                0.97563,                0.86583,                0.52427,                0.33756,                0.98809,             0.00057106,             0.00057106,             0.00057106
                     16,                0.47215,                 0.3838,                 1.0225,                0.94311,                0.93911,                 0.9761,                0.86572,                0.53786,                0.37162,                 1.0022,             0.00055583,             0.00055583,             0.00055583
                     17,                0.47966,                0.37519,                 1.0287,                0.95179,                0.96783,                0.97919,                0.86829,                 0.5243,                 0.3104,                 0.9972,             0.00054061,             0.00054061,             0.00054061
                     18,                0.47447,                0.36347,                 1.0153,                0.95727,                0.95403,                0.98303,                0.87685,                0.52164,                0.32413,                0.97872,             0.00052538,             0.00052538,             0.00052538
                     19,                0.47346,                0.37298,                  1.021,                0.98407,                0.93878,                0.98557,                0.88709,                0.50321,                0.29489,                0.96386,             0.00051015,             0.00051015,             0.00051015
                     20,                0.47278,                0.37499,                  1.025,                0.96358,                0.96075,                0.98523,                0.86323,                0.55144,                0.31088,                  1.025,             0.00049493,             0.00049493,             0.00049493
                     21,                0.46827,                 0.3665,                 1.0212,                 0.9532,                0.96662,                0.98213,                0.87591,                0.52282,                0.30289,                0.98807,              0.0004797,              0.0004797,              0.0004797
                     22,                0.46776,                0.35735,                 1.0173,                0.97096,                0.96236,                0.98646,                0.88451,                0.52461,                0.29797,                0.98235,             0.00046448,             0.00046448,             0.00046448
                     23,                0.46901,                 0.3543,                 1.0135,                0.96925,                0.95156,                0.98234,                0.88446,                0.50469,                0.29808,                0.97433,             0.00044925,             0.00044925,             0.00044925
                     24,                  0.454,                0.34919,                 1.0115,                0.95955,                0.95851,                 0.9813,                0.88719,                0.49144,                0.31237,                0.95807,             0.00043402,             0.00043402,             0.00043402
                     25,                0.45154,                0.34373,                 1.0057,                0.97122,                0.94584,                0.98473,                0.88201,                0.52171,                 0.3088,                 0.9922,              0.0004188,              0.0004188,              0.0004188
                     26,                0.44874,                0.35033,                 1.0048,                0.96734,                0.96326,                0.97939,                0.88057,                0.51441,                0.30881,                 0.9692,             0.00040357,             0.00040357,             0.00040357
                     27,                0.44845,                0.34609,                 1.0097,                0.96257,                0.97483,                0.98529,                0.88878,                0.50073,                0.29699,                0.97662,             0.00038835,             0.00038835,             0.00038835
                     28,                0.44753,                0.33986,                 1.0064,                0.96433,                0.95769,                0.97898,                 0.8815,                0.50716,                0.31621,                0.97313,             0.00037312,             0.00037312,             0.00037312
                     29,                0.43936,                0.33477,                 1.0027,                0.97383,                0.96447,                0.98537,                0.88556,                0.50966,                0.28477,                0.97189,             0.00035789,             0.00035789,             0.00035789
                     30,                0.43215,                0.33367,                 0.9987,                0.97568,                0.96724,                0.98372,                0.88374,                0.50463,                0.29021,                0.97005,             0.00034267,             0.00034267,             0.00034267
                     31,                0.43392,                0.33336,                 1.0052,                0.97273,                 0.9686,                0.98599,                0.87809,                0.52521,                0.29067,                 1.0018,             0.00032744,             0.00032744,             0.00032744
                     32,                0.42252,                0.32647,                0.99744,                0.97859,                0.96201,                 0.9853,                 0.8918,                  0.499,                0.28495,                0.97328,             0.00031221,             0.00031221,             0.00031221
                     33,                0.43007,                0.33024,                 1.0059,                0.97722,                0.95828,                0.98611,                0.89435,                0.49454,                0.28562,                0.97225,             0.00029699,             0.00029699,             0.00029699
                     34,                 0.4152,                0.30918,                0.98936,                0.97677,                0.96425,                0.98624,                0.89131,                0.50078,                 0.2809,                0.98292,             0.00028176,             0.00028176,             0.00028176
                     35,                0.41331,                0.31896,                0.98851,                0.95555,                0.96897,                0.98547,                0.88867,                0.49723,                0.29703,                0.97964,             0.00026654,             0.00026654,             0.00026654
                     36,                0.41971,                0.32142,                0.98786,                0.96313,                0.96673,                0.98274,                0.88896,                0.49901,                0.29812,                0.98427,             0.00025131,             0.00025131,             0.00025131
                     37,                0.40314,                 0.3079,                0.98782,                0.97273,                0.96891,                0.98561,                0.89365,                0.48915,                0.28031,                 0.9709,             0.00023608,             0.00023608,             0.00023608
                     38,                0.39862,                0.29754,                0.97867,                0.97039,                0.97909,                 0.9887,                0.89936,                0.48171,                0.25154,                0.96696,             0.00022086,             0.00022086,             0.00022086
                     39,                0.39104,                0.29644,                0.97949,                0.97292,                0.96944,                0.98642,                0.89467,                0.48404,                0.27381,                0.96865,             0.00020563,             0.00020563,             0.00020563
                     40,                0.39879,                 0.2965,                0.98111,                0.98102,                0.96295,                0.98793,                  0.898,                0.49056,                0.26207,                 0.9784,              0.0001904,              0.0001904,              0.0001904
                     41,                0.33469,                0.19559,                0.92568,                0.97586,                 0.9607,                0.98792,                0.89669,                0.48399,                 0.2667,                 0.9815,             0.00017518,             0.00017518,             0.00017518
                     42,                0.33132,                0.19223,                0.93222,                0.97671,                0.96283,                0.98625,                0.89394,                0.49205,                0.27506,                0.99202,             0.00015995,             0.00015995,             0.00015995
                     43,                0.32904,                0.19202,                0.92355,                0.97418,                0.96502,                0.98673,                0.89956,                0.47702,                0.27606,                0.96874,             0.00014473,             0.00014473,             0.00014473
                     44,                0.32032,                0.18778,                0.91512,                0.98273,                0.96522,                0.98853,                0.90038,                0.46954,                0.25882,                0.96223,              0.0001295,              0.0001295,              0.0001295
                     45,                0.31535,                0.18157,                0.91295,                0.97885,                 0.9752,                0.98856,                0.90389,                0.48039,                0.25375,                0.97933,             0.00011427,             0.00011427,             0.00011427
                     46,                0.30837,                0.18129,                0.90851,                0.98075,                0.97433,                0.98964,                0.89902,                0.48319,                0.25474,                  0.986,             9.9047e-05,             9.9047e-05,             9.9047e-05
                     47,                0.29782,                0.17631,                0.91154,                0.97289,                 0.9794,                0.99027,                0.89847,                0.49172,                0.25687,                0.99969,             8.3821e-05,             8.3821e-05,             8.3821e-05
                     48,                0.30291,                0.17866,                0.91394,                0.97237,                0.97863,                0.99024,                0.89863,                0.49315,                0.25367,                 1.0025,             6.8595e-05,             6.8595e-05,             6.8595e-05
                     49,                0.29354,                0.17044,                0.90268,                0.97793,                0.97053,                0.98985,                0.89958,                 0.4864,                 0.2585,                0.99324,             5.3369e-05,             5.3369e-05,             5.3369e-05
                     50,                0.29115,                0.16849,                    0.9,                0.96975,                0.97947,                0.98995,                 0.8992,                0.48621,                0.26078,                0.99076,             3.8142e-05,             3.8142e-05,             3.8142e-05
